,result
107,"5星 流浪大地的乐团 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 暴击伤害--7.0%; 攻击力--16; 攻击力%--5.8%; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为7.5.
---------build列表---------
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【79.3%】,该部位完美毕业难度为: 5.6"
77,"5星 追忆之注连 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 暴击率--3.1%; 生命值--299; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为5.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【86.7%】,该部位完美毕业难度为: 5.6"
41,"5星 绝缘之旗印 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 暴击伤害--5.4%; 元素充能效率--6.5%; 生命值--239; 攻击力--19; 
该圣遗物最佳评分为:【86.7%】, 稀有度为6.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【86.7%】,该部位完美毕业难度为: 5.3"
151,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 暴击伤害--7.8%; 元素充能效率--6.5%; 攻击力%--5.8%; 防御力%--5.1%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为8.0.
---------build列表---------
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【68.7%】,该部位完美毕业难度为: 5.6"
87,"5星 沉沦之心 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 元素充能效率--6.5%; 攻击力--18; 暴击伤害--6.2%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为5.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【86.7%】,该部位完美毕业难度为: 5.6"
157,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 生命值--239; 攻击力%--5.8%; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为5.5.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【68.7%】,该部位完美毕业难度为: 5.6"
32,"5星 深林的记忆 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 暴击伤害--6.2%; 攻击力%--4.1%; 防御力%--7.3%; 元素精通--23; 
该圣遗物最佳评分为:【86.3%】, 稀有度为8.1.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【86.3%】,该部位完美毕业难度为: 5.6
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【86.3%】,该部位完美毕业难度为: 5.6
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【68.3%】,该部位完美毕业难度为: 5.7"
66,"5星 追忆之注连 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 元素精通--23; 防御力%--5.8%; 防御力--21; 
该圣遗物最佳评分为:【86.3%】, 稀有度为5.3.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【86.3%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【86.3%】,该部位完美毕业难度为: 5.3
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【68.3%】,该部位完美毕业难度为: 5.4"
154,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【攻击力%】
副属性为: 暴击率--2.7%; 防御力--19; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【86.1%】, 稀有度为5.8.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【86.1%】,该部位完美毕业难度为: 5.9"
100,"5星 流浪大地的乐团 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 生命值%--5.3%; 元素精通--21; 暴击率--3.5%; 
该圣遗物最佳评分为:【85.7%】, 稀有度为6.9.
---------build列表---------
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【85.7%】,该部位完美毕业难度为: 6.6
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【84.2%】,该部位完美毕业难度为: 6.2
对BUILD:[草主--通用--草套--<充精精>]的适配度为【84.0%】,该部位完美毕业难度为: 6.2
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【84.0%】,该部位完美毕业难度为: 6.2
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【76.6%】,该部位完美毕业难度为: 5.4"
48,"5星 绝缘之旗印 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 元素充能效率--5.8%; 元素精通--16; 暴击率--3.5%; 防御力--19; 
该圣遗物最佳评分为:【85.5%】, 稀有度为7.6.
---------build列表---------
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【85.5%】,该部位完美毕业难度为: 6.0
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【83.9%】,该部位完美毕业难度为: 5.6
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.6
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.6
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【80.7%】,该部位完美毕业难度为: 5.7
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.6
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【78.4%】,该部位完美毕业难度为: 5.6"
60,"5星 追忆之注连 生之花; 等级:0
主属性为:【生命值】
副属性为: 暴击率--3.9%; 攻击力%--4.1%; 元素充能效率--5.2%; 
该圣遗物最佳评分为:【85.3%】, 稀有度为4.7.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【85.3%】,该部位完美毕业难度为: 4.5"
96,"5星 流浪大地的乐团 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 生命值%--4.1%; 生命值--299; 攻击力--16; 暴击率--3.9%; 
该圣遗物最佳评分为:【84.4%】, 稀有度为7.7.
---------build列表---------
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【84.4%】,该部位完美毕业难度为: 6.6
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【78.8%】,该部位完美毕业难度为: 6.2"
130,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【元素充能效率】
副属性为: 生命值--209; 生命值%--5.3%; 攻击力%--5.3%; 防御力--21; 
该圣遗物最佳评分为:【84.2%】, 稀有度为7.4.
---------build列表---------
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【84.2%】,该部位完美毕业难度为: 6.2"
62,"5星 追忆之注连 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 防御力--16; 元素精通--21; 暴击伤害--7.8%; 生命值--299; 
该圣遗物最佳评分为:【84.0%】, 稀有度为6.9.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.5%】,该部位完美毕业难度为: 5.4"
147,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 攻击力--16; 元素精通--21; 防御力%--7.3%; 
该圣遗物最佳评分为:【84.0%】, 稀有度为5.6.
---------build列表---------
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.6
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.6
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.5%】,该部位完美毕业难度为: 5.7"
112,"5星 翠绿之影 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 元素精通--21; 攻击力%--5.3%; 暴击伤害--7.0%; 
该圣遗物最佳评分为:【84.0%】, 稀有度为6.0.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.5%】,该部位完美毕业难度为: 5.4"
111,"5星 翠绿之影 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 元素精通--21; 生命值--269; 防御力%--5.8%; 暴击伤害--5.4%; 
该圣遗物最佳评分为:【84.0%】, 稀有度为7.3.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.5%】,该部位完美毕业难度为: 5.4"
94,"5星 流浪大地的乐团 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 防御力--19; 元素精通--21; 暴击率--3.1%; 生命值--299; 
该圣遗物最佳评分为:【84.0%】, 稀有度为6.9.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【84.0%】,该部位完美毕业难度为: 5.3
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【77.1%】,该部位完美毕业难度为: 5.4"
114,"5星 翠绿之影 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 元素精通--19; 元素充能效率--5.8%; 攻击力--18; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.3.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.3"
85,"5星 追忆之注连 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 防御力--21; 元素充能效率--5.8%; 暴击伤害--7.8%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.8.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.4%】,该部位完美毕业难度为: 5.6"
128,"5星 角斗士的终幕礼 时之沙; 等级:0
主属性为:【元素精通】
副属性为: 攻击力--14; 生命值--299; 生命值%--4.1%; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为7.4.
---------build列表---------
对BUILD:[温迪--风套--<精精精>]的适配度为【83.9%】,该部位完美毕业难度为: 6.2
对BUILD:[万叶--风套--<精精精>]的适配度为【83.9%】,该部位完美毕业难度为: 6.2"
53,"5星 绝缘之旗印 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 防御力--23; 攻击力--19; 生命值--239; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为6.3.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.4%】,该部位完美毕业难度为: 5.6"
50,"5星 绝缘之旗印 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 攻击力%--4.1%; 元素充能效率--5.8%; 生命值--269; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.6.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.6"
84,"5星 追忆之注连 理之冠; 等级:0
主属性为:【防御力%】
副属性为: 防御力--19; 生命值--239; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.0.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5"
42,"5星 绝缘之旗印 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 生命值--209; 生命值%--5.8%; 防御力--21; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为6.6.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.3"
101,"5星 流浪大地的乐团 时之沙; 等级:0
主属性为:【元素精通】
副属性为: 攻击力--16; 元素充能效率--5.8%; 生命值--269; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.8.
---------build列表---------
对BUILD:[温迪--风套--<精精精>]的适配度为【83.9%】,该部位完美毕业难度为: 6.2
对BUILD:[万叶--风套--<精精精>]的适配度为【83.9%】,该部位完美毕业难度为: 6.2"
56,"5星 绝缘之旗印 理之冠; 等级:0
主属性为:【防御力%】
副属性为: 攻击力--16; 元素充能效率--5.8%; 生命值%--4.7%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.5.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5"
45,"5星 绝缘之旗印 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 攻击力--14; 元素充能效率--5.8%; 攻击力%--4.1%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.3.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.3"
18,"5星 饰金之梦 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 攻击力%--4.7%; 元素充能效率--5.8%; 攻击力--14; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.3.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.3"
30,"5星 深林的记忆 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 元素精通--16; 生命值--239; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.3.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.3"
23,"5星 饰金之梦 理之冠; 等级:0
主属性为:【防御力%】
副属性为: 生命值%--4.7%; 攻击力%--4.1%; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5"
145,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 防御力%--6.6%; 元素充能效率--5.8%; 防御力--16; 生命值--299; 
该圣遗物最佳评分为:【83.9%】, 稀有度为6.9.
---------build列表---------
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【83.9%】,该部位完美毕业难度为: 5.6
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.6
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.6
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.4%】,该部位完美毕业难度为: 5.7"
155,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 防御力%--6.6%; 元素充能效率--5.8%; 防御力--23; 
该圣遗物最佳评分为:【83.9%】, 稀有度为5.5.
---------build列表---------
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【66.4%】,该部位完美毕业难度为: 5.6"
51,"5星 绝缘之旗印 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 元素充能效率--5.2%; 暴击率--3.5%; 防御力--23; 
该圣遗物最佳评分为:【83.7%】, 稀有度为5.9.
---------build列表---------
对BUILD:[班尼特--通用--宗室--<充生治>]的适配度为【83.7%】,该部位完美毕业难度为: 6.0
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6"
116,"5星 翠绿之影 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 暴击伤害--7.8%; 防御力--16; 元素精通--19; 
该圣遗物最佳评分为:【81.7%】, 稀有度为5.9.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.6
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.6"
102,"5星 流浪大地的乐团 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 元素精通--19; 防御力%--7.3%; 防御力--21; 
该圣遗物最佳评分为:【81.7%】, 稀有度为5.3.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.3
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【75.4%】,该部位完美毕业难度为: 5.4"
7,"5星 绝缘之旗印 空之杯; 等级:4
主属性为:【生命值%】
副属性为: 元素精通--19; 攻击力%--5.3%; 暴击伤害--14.8%; 防御力--19; 
该圣遗物最佳评分为:【81.7%】, 稀有度为7.6.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.6
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.6
对BUILD:[夜兰--通用--绝缘--<充水双暴>]的适配度为【66.6%】,该部位完美毕业难度为: 10.0
对BUILD:[夜兰--通用--绝缘--<生水暴率>]的适配度为【66.6%】,该部位完美毕业难度为: 10.0"
35,"5星 深林的记忆 空之杯; 等级:0
主属性为:【生命值%】
副属性为: 元素充能效率--5.2%; 生命值--299; 元素精通--19; 
该圣遗物最佳评分为:【81.7%】, 稀有度为5.6.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.6
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.6
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.7
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6"
89,"5星 昔日宗室之仪 时之沙; 等级:0
主属性为:【生命值%】
副属性为: 防御力--19; 元素精通--19; 攻击力--19; 
该圣遗物最佳评分为:【81.7%】, 稀有度为4.9.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.3
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【81.7%】,该部位完美毕业难度为: 5.3
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【73.7%】,该部位完美毕业难度为: 5.3"
108,"5星 流浪大地的乐团 理之冠; 等级:0
主属性为:【治疗加成】
副属性为: 元素精通--19; 防御力--16; 生命值%--4.7%; 
该圣遗物最佳评分为:【81.5%】, 稀有度为6.5.
---------build列表---------
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【81.5%】,该部位完美毕业难度为: 6.6
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【81.5%】,该部位完美毕业难度为: 6.6"
160,"5星 角斗士的终幕礼 理之冠; 等级:0
主属性为:【治疗加成】
副属性为: 元素精通--19; 生命值%--4.7%; 元素充能效率--4.5%; 
该圣遗物最佳评分为:【81.5%】, 稀有度为6.9.
---------build列表---------
对BUILD:[心海--纯辅--千岩--<生生治>]的适配度为【81.5%】,该部位完美毕业难度为: 6.6
对BUILD:[久岐忍--千岩--<生生治>]的适配度为【81.5%】,该部位完美毕业难度为: 6.6
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【79.0%】,该部位完美毕业难度为: 6.6"
142,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 生命值--239; 元素充能效率--5.2%; 生命值%--4.1%; 防御力--21; 
该圣遗物最佳评分为:【81.4%】, 稀有度为6.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【81.4%】,该部位完美毕业难度为: 5.6"
20,"5星 饰金之梦 时之沙; 等级:0
主属性为:【元素精通】
副属性为: 防御力%--6.6%; 元素充能效率--5.2%; 防御力--21; 
该圣遗物最佳评分为:【81.4%】, 稀有度为6.2.
---------build列表---------
对BUILD:[万叶--风套--<精精精>]的适配度为【81.4%】,该部位完美毕业难度为: 6.2
对BUILD:[温迪--风套--<精精精>]的适配度为【81.4%】,该部位完美毕业难度为: 6.2"
